waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [6.011894997358812e-11, 2.389159828039972e-06, 0.42049888147737985]
yaw at settle (before control_loop has published a single command): +0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [easing into trot  30%] pitch: -0.07 deg  roll: +0.14 deg  yaw: -0.11 deg  body_xyz: [0.0039847879248472735, -0.0018933863836469737, 0.358233135010752]  speed_xy: 0.026 (target 0.150)  theta: +0.27 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.173 FR:-0.169 BL:-0.173 BR:-0.168}
  [easing into trot  40%] pitch: -0.07 deg  roll: +0.25 deg  yaw: -0.31 deg  body_xyz: [0.004630861128433582, -0.002525740696405812, 0.3582700193726935]  speed_xy: 0.012 (target 0.150)  theta: +0.21 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.173 FR:-0.168 BL:-0.174 BR:-0.168}
  [easing into trot  50%] pitch: -0.01 deg  roll: +0.24 deg  yaw: -0.36 deg  body_xyz: [0.006083339027269772, -0.0021984673707989835, 0.359124938608786]  speed_xy: 0.006 (target 0.150)  theta: -0.09 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.174 FR:-0.168 BL:-0.174 BR:-0.167}
  [easing into trot  60%] pitch: -0.04 deg  roll: +0.27 deg  yaw: -0.28 deg  body_xyz: [0.0029454366904854644, -0.0021631836730950887, 0.3591864529638712]  speed_xy: 0.004 (target 0.150)  theta: +0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.175 FR:-0.167 BL:-0.175 BR:-0.167}
  [easing into trot  70%] pitch: -0.02 deg  roll: +0.35 deg  yaw: -0.30 deg  body_xyz: [0.0036062373071133373, -0.0027167973290524797, 0.3593056058938881]  speed_xy: 0.001 (target 0.150)  theta: -0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.176 FR:-0.167 BL:-0.175 BR:-0.167}
  [easing into trot  80%] pitch: -0.16 deg  roll: +0.18 deg  yaw: -1.11 deg  body_xyz: [0.00874548691052194, -0.0007828829968952471, 0.3584703786713939]  speed_xy: 0.016 (target 0.150)  theta: -0.60 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.178 FR:-0.166 BL:-0.179 BR:-0.165}
  [easing into trot  90%] pitch: -0.02 deg  roll: +0.15 deg  yaw: -0.87 deg  body_xyz: [0.009790825646219352, -0.0011503495465444102, 0.35880614486950146]  speed_xy: 0.003 (target 0.150)  theta: +0.09 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.179 FR:-0.164 BL:-0.180 BR:-0.163}
  [easing into trot 100%] pitch: +0.23 deg  roll: -0.06 deg  yaw: -0.67 deg  body_xyz: [0.013221867771149412, 0.00012959488973446885, 0.3577066767441964]  speed_xy: 0.010 (target 0.150)  theta: +0.49 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.181 FR:-0.161 BL:-0.183 BR:-0.163}
--- trot engaged: period=1.0s  target_vx=0.15 m/s  cycles=6 ---
  [trot t=0.00] pitch: +0.16 deg  roll: -0.06 deg  yaw: -0.70 deg  body_xyz: [0.01304990322006299, 0.000210861398607785, 0.35799434760855803]  speed_xy: 0.011 (target 0.150)  theta: +0.21 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: None  foot_z: {FL:-0.181 FR:-0.161 BL:-0.183 BR:-0.163}
