waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = -0.00 deg
body position: [2.8327779500983087e-09, -3.038301542009153e-09, 0.4204979243519505]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [easing into trot  50%] pitch: +0.00 deg  roll: +0.78 deg  yaw: +0.00 deg  body_xyz: [-3.122511275729261e-05, -0.006270746902428558, 0.35986144856361374]  speed_xy: 0.005 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.155 FR:-0.150 BL:-0.155 BR:-0.150}
  [easing into trot  60%] pitch: +0.00 deg  roll: +0.94 deg  yaw: -0.00 deg  body_xyz: [-3.151798476769318e-05, -0.0077275829157554396, 0.36039609241173165]  speed_xy: 0.005 (target 0.150)  theta: +0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.156 FR:-0.150 BL:-0.156 BR:-0.150}
  [easing into trot  70%] pitch: -0.00 deg  roll: +1.13 deg  yaw: +0.00 deg  body_xyz: [-2.850849859036576e-05, -0.00934735895589215, 0.3611434510568277]  speed_xy: 0.006 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.161 FR:-0.150 BL:-0.161 BR:-0.150}
  [easing into trot  80%] pitch: +0.00 deg  roll: +1.24 deg  yaw: -0.00 deg  body_xyz: [-1.8404295061148076e-05, -0.010285347839687325, 0.36154826225271663]  speed_xy: 0.004 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.162 FR:-0.150 BL:-0.163 BR:-0.150}
  [easing into trot  90%] pitch: -0.00 deg  roll: +1.36 deg  yaw: -0.00 deg  body_xyz: [-1.774919248793378e-05, -0.011331069147947117, 0.3620984824316593]  speed_xy: 0.003 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.150 BL:-0.166 BR:-0.150}
  [easing into trot 100%] pitch: +0.09 deg  roll: +1.02 deg  yaw: +0.49 deg  body_xyz: [-0.0013631501581506012, -0.009391558194053682, 0.36026789838859885]  speed_xy: 0.016 (target 0.150)  theta: -0.12 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.178 FR:-0.149 BL:-0.176 BR:-0.150}
--- trot engaged: period=1.6s  target_vx=0.15 m/s  cycles=6 ---
  [trot t=0.00] pitch: +0.06 deg  roll: +1.02 deg  yaw: +0.48 deg  body_xyz: [-0.0014801605037514298, -0.009283593486633974, 0.36032609428769086]  speed_xy: 0.009 (target 0.150)  theta: -0.18 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: None  foot_z: {FL:-0.178 FR:-0.149 BL:-0.176 BR:-0.150}
  [trot t=0.31] pitch: -2.23 deg  roll: -1.42 deg  yaw: +14.22 deg  body_xyz: [-0.02074061009508349, -0.0028999372260687176, 0.3259762275581259]  speed_xy: 0.083 (target 0.150)  theta: -2.39 deg  yaw_corr(err=+13.45deg I=+0.032 -> fx_term=+0.0367 fy_term=-0.0171)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.157 FR:-0.151 BL:-0.171 BR:-0.132}
  [trot t=0.61] pitch: -7.70 deg  roll: +0.77 deg  yaw: +7.98 deg  body_xyz: [-0.010257883142940075, -0.021021673750961575, 0.3420381192443997]  speed_xy: 0.158 (target 0.150)  theta: -4.40 deg  yaw_corr(err=+7.87deg I=+0.097 -> fx_term=+0.0250 fy_term=-0.0116)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.141 FR:-0.171 BL:-0.153 BR:-0.135}
