waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [easing into trot  60%] pitch: +0.07 deg  roll: +0.37 deg  yaw: +0.12 deg  body_xyz: [0.005802563827920968, -0.0017154590762991377, 0.35880990384212036]  speed_xy: 0.006 (target 0.150)  pitch_rate: +0.2 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.176 FR:-0.168 BL:-0.173 BR:-0.166}
  [easing into trot  70%] pitch: +0.03 deg  roll: +0.42 deg  yaw: -0.09 deg  body_xyz: [0.0074231464414614865, -0.001977190417324275, 0.3587664189160336]  speed_xy: 0.007 (target 0.150)  pitch_rate: +0.1 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.177 FR:-0.169 BL:-0.174 BR:-0.165}
  [easing into trot  80%] pitch: +0.05 deg  roll: +0.47 deg  yaw: -0.22 deg  body_xyz: [0.009186764766954448, -0.0020530017473805035, 0.3586650693710316]  speed_xy: 0.004 (target 0.150)  pitch_rate: +0.2 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.178 FR:-0.169 BL:-0.175 BR:-0.164}
  [easing into trot  90%] pitch: +0.10 deg  roll: +0.47 deg  yaw: -0.33 deg  body_xyz: [0.011245981663739468, -0.002049862447129385, 0.3584968708869774]  speed_xy: 0.009 (target 0.150)  pitch_rate: +0.2 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.180 FR:-0.169 BL:-0.176 BR:-0.164}
  [easing into trot 100%] pitch: +0.07 deg  roll: +0.49 deg  yaw: -0.47 deg  body_xyz: [0.012830323907588424, -0.002071537664375674, 0.35844428617959884]  speed_xy: 0.006 (target 0.150)  pitch_rate: -0.1 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.181 FR:-0.170 BL:-0.177 BR:-0.163}
--- trot engaged: period=1.0s  target_vx=0.15 m/s  cycles=6 ---
  [trot t=0.00] pitch: +0.07 deg  roll: +0.49 deg  yaw: -0.47 deg  body_xyz: [0.01293726211233674, -0.0020712112845405607, 0.35845157545481166]  speed_xy: 0.006 (target 0.150)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: None  foot_z: {FL:-0.181 FR:-0.170 BL:-0.177 BR:-0.163}
  [trot t=0.06] pitch: +0.22 deg  roll: +0.02 deg  yaw: -0.04 deg  body_xyz: [0.011216572458442174, -4.581502540979166e-05, 0.3548158435432831]  speed_xy: 0.082 (target 0.150)  pitch_rate: +2.1 deg/s  theta(p=+0.06 d=+0.19 ff=-1.70 clamped=-1.44) deg  yaw_corr(err=+0.27deg I=+0.000 -> fx_term=+0.0007 fy_term=-0.0003)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.181 FR:-0.168 BL:-0.176 BR:-0.154}
  [trot t=0.12] pitch: -0.94 deg  roll: -0.10 deg  yaw: +1.32 deg  body_xyz: [0.008743174908494493, 0.0019011734659403043, 0.35250980573166074]  speed_xy: 0.047 (target 0.150)  pitch_rate: -9.4 deg/s  theta(p=-0.09 d=-0.34 ff=-3.68 clamped=-4.11) deg  yaw_corr(err=+1.43deg I=+0.001 -> fx_term=+0.0038 fy_term=-0.0018)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.178 FR:-0.170 BL:-0.175 BR:-0.141}
  [trot t=0.18] pitch: -3.45 deg  roll: +0.23 deg  yaw: +2.47 deg  body_xyz: [0.00846760193362305, 0.0007541767577240743, 0.3466303069843193]  speed_xy: 0.046 (target 0.150)  pitch_rate: -25.5 deg/s  theta(p=-0.63 d=-1.52 ff=-4.83 clamped=-6.98) deg  yaw_corr(err=+2.53deg I=+0.003 -> fx_term=+0.0068 fy_term=-0.0032)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.171 FR:-0.175 BL:-0.166 BR:-0.126}
